bn_name,bn_id,loc_name,creator_type,title,date,year_n,place,publisher,names_n,names,bn_pos,record_id,lccnID
Gertrude Caton-Thompson,Q870,"Caton-Thompson, Gertrude",author,The Zimbabwe culture; ruins and reactions,1931,1931,Oxford,Clarendon Press,1,"Caton-Thompson, Gertrude",1,Q870_007,31033868
Gertrude Caton-Thompson,Q870,"Caton-Thompson, Gertrude",author,The desert Fayum,1934,1934,London,The Royal anthropological institute of Great Britain and Ireland,2,"Caton-Thompson, Gertrude || Gardner, Elinor Wight",1,Q870_002,35009281
Gertrude Caton-Thompson,Q870,"Caton-Thompson, Gertrude",author,The tombs and Moon temple of Hureidha (Hadhramaut),1944,1944,Oxford,"Printed at the University Press by J. Johnson for the Society of Antiquaries, London",2,"Caton-Thompson, Gertrude || Ryckmans, Gonzague",1,Q870_005,a 45001606
Gertrude Caton-Thompson,Q870,"Caton-Thompson, Gertrude",author,Kharga Oasis in prehistory,1952,1952,London,University of London,1,"Caton-Thompson, Gertrude",1,Q870_003,52035845
Alicia Tyssen-Amherst,Q1378,"Cecil, Evelyn",author,Notes of my journey round the world,1889,1889,London,"Longmans, Green, and co.",1,"Cecil, Evelyn",1,Q1378_001,05027610
Alicia Tyssen-Amherst,Q1378,"Cecil, Evelyn",author,Primogeniture; a short history of its development in various countries and its practical effects,1895,1895,London,J. Murray,1,"Cecil, Evelyn",1,Q1378_002,02014489
Alicia Tyssen-Amherst,Q1378,"Cecil, Evelyn",author,A history of gardening in England,1896,1896,London,B. Quaritch,1,"Cecil, Evelyn",1,Q1378_006,03018737
Alicia Tyssen-Amherst,Q1378,"Cecil, Evelyn",author,Children's gardens,1902,1902,London,"Macmillan and co., limited",1,"Cecil, Evelyn",1,Q1378_003,03000858
Alicia Tyssen-Amherst,Q1378,"Cecil, Evelyn",author,London parks and gardens,1907,1907,London,A. Constable & Co. ltd.,1,"Cecil, Evelyn",1,Q1378_009,08021790
Alicia Tyssen-Amherst,Q1378,"Cecil, Evelyn",author,Report to the Board of trade of the departmental committee on deaths from gas poisoning,1930,1930,London,H. M. Stationery off.,1,"Cecil, Evelyn",1,Q1378_012,30023970
Alicia Tyssen-Amherst,Q1378,"Cecil, Evelyn",author,Wild flowers of the great dominions of the British empire,1935,1935,London,"Macmillan and co., limited",1,"Cecil, Evelyn",1,Q1378_010,35019091
Alicia Tyssen-Amherst,Q1378,"Cecil, Evelyn",author,Historic gardens of England,1938,1938,London,C. Scribner's Sons,1,"Cecil, Evelyn",1,Q1378_004,40001132
Alicia Tyssen-Amherst,Q1378,"Cecil, Evelyn",author,Report,1938,1938,London,H. M. Stationery off.,1,"Cecil, Evelyn",1,Q1378_013,44018666
Nora Kershaw Chadwick,Q1659,"Chadwick, Nora K.",editor,Stories and ballads of the far past,1921,1921,Cambridge,University press,1,"Chadwick, Nora K.",1,Q1659_019,21016024
Nora Kershaw Chadwick,Q1659,"Chadwick, Nora K.",author,The growth of literature,1932-40,1932,Cambridge Eng.,The University press,2,"Chadwick, H. Munro || Chadwick, Nora K.",2,Q1659_006,33006470
Nora Kershaw Chadwick,Q1659,"Chadwick, Nora K.",author,Poetry & prophecy,1942,1942,Cambridge Eng.,University Press,1,"Chadwick, Nora K.",1,Q1659_017,a 42003206
Nora Kershaw Chadwick,Q1659,"Chadwick, Nora K.",author,The beginnings of Russian history: an enquiry into sources,1946,1946,Cambridge Eng.,The University Press,1,"Chadwick, Nora K.",1,Q1659_008,46006223
Nora Kershaw Chadwick,Q1659,"Chadwick, Nora K.",author,Poetry and letters in early Christian Gaul,1955,1955,London,Bowes & Bowes,1,"Chadwick, Nora K.",1,Q1659_018,55003478
Nora Kershaw Chadwick,Q1659,"Chadwick, Nora Kershaw",translator,Russian heroic poetry,1932,1932,Cambridge Eng.,The University Press,1,"Chadwick, Nora Kershaw",1,Q1659_024,33003723
Annie Beatrice Wallis Chapman,Q825,"Chapman, A. Beatrice Wallis",author,The commercial relations of England and Portugal,1907,1907,London,"G. Routledge & sons, limited",2,"Shillington, Violet Mary || Chapman, A. Beatrice Wallis",2,Q825_005,08003943
Annie Beatrice Wallis Chapman,Q825,"Chapman, A. Beatrice Wallis",author,"The status of women under the English law; a compendious epitome of legislative enactments and social and political events arranged as a continuous narrative, with references to authorities and acts of Parliament",1909,1909,London,G. Routledge,2,"Chapman, A. Beatrice Wallis || Chapman, Mary Wallis",1,Q825_001,09021890
Annie Beatrice Wallis Chapman,Q825,"Chapman, A. Beatrice Wallis",editor,The Black book of Southampton,1912-15,1912,Southampton,"Cox & Sharland, 1912-15.",1,"Chapman, A. Beatrice Wallis",1,Q825_006,13000397
Annie Beatrice Wallis Chapman,Q825,"Chapman, A. Beatrice Wallis",editor,English merchants and the Spanish inquisition in the Canaries: extracts from the archives in possession of the Most Hon. the Marquess of Bute,1912,1912,London,Offices of the Society,2,"Alberti, Leonora de || Chapman, A. Beatrice Wallis",2,Q825_003,14011740
Irene Josephine Churchill,Q317,"Churchill, Irene Josephine",author,"Sede vacante wills: a calender of wills proved before the commissary of the prior and chapter of Christ church, Canterbury",1914,1914,Canterbury,Printed for the Records branch by Cross & Jackman,2,"Woodruff, Charles Eveleigh || Churchill, Irene Josephine",2,Q317_007,15006725
Irene Josephine Churchill,Q317,"Churchill, Irene Josephine",author,"A handbook to Kent records. Containing a summary account of the principal classes of historical documents relating to the county, and a guide to their chief places of deposit",1914,1914,London,"Printed for the Records Branch by Mitchell, Hughes and Clarke",1,"Churchill, Irene Josephine",1,Q317_005,15015905
Irene Josephine Churchill,Q317,"Churchill, Irene Josephine",editor,"East Kent records. A calendar of some unpublished deeds and court rolls in the library of Lambeth Palace, with appendices referring especially to the manors of Knowlton, Sandown, South Court, and North Court",1922,1922,London,"Printed for the Records Branch by Mitchell, Hughes, and Clark",1,"Churchill, Irene Josephine",1,Q317_006,22024589
Irene Josephine Churchill,Q317,"Churchill, Irene Josephine",editor,Calendar of institutions by the Chapter of Canterbury sede vacante,1924,1924,Canterbury,Printed for the Records Branch by Gibbs and sons,2,"Woodruff, C. Eveleigh || Churchill, Irene Josephine",2,Q317_002,25005371
Irene Josephine Churchill,Q317,"Churchill, Irene Josephine",editor,Table of Canterbury archbishopric charters,1929,1929,London,Offices of the Society,1,"Churchill, Irene Josephine",1,Q317_003,a 41001281
Irene Josephine Churchill,Q317,"Churchill, Irene Josephine",author,"Canterbury administration: the administrative machinery of the archbishopric of Canterbury, illustrated from original records",1933,1933,London,Society for promoting Christian knowledge,1,"Churchill, Irene Josephine",1,Q317_004,34006185
Mary Kitson Clark,Q875,"Clark, Mary Kitson",author,A gazetteer of Roman remains in east Yorkshire,1935,1935,Leeds,Roman antiquities committee of the Yorkshire archaelological society,1,"Clark, Mary Kitson",1,Q875_002,36008731
Kate M. Clarke,Q831,"Clarke, Kate M.",author,The misericords of Exeter cathedral,1920,1920,Exeter,J. G. Commin,1,"Clarke, Kate M.",1,Q831_001,25014806
Maude Violet Clarke,Q374,"Clarke, M. V.",editor,"Registrum cartarum monasterii b. v. Mariae de Tristernagh in commitatu occidentalis midiae, fundati et dotati a Galfredo de Constintine. Register of the priory of the Blessed Virgin Mary at Tristernagh",1941,1941,Dublin,The Stationery office,3,"Clarke, M. V. || Macaulay, Janet Stewart Alison || Murray, K. M. Elisabeth",1,Q374_007,43007733
Maude Violet Clarke,Q374,"Clarke, Maude Violet",author,The medieval city state; an essay on tyranny and federation in the later middle ages,1926,1926,London,"Methuen & co., ltd.",1,"Clarke, Maude Violet",1,Q374_004,27007685
Maude Violet Clarke,Q374,"Clarke, Maude Violet",author,"Medieval representation and consent; a study of early parliaments in England and Ireland, with special reference to the Modus tenendi parliamentum",1936,1936,London,"Longmans, Green and Co.",1,"Clarke, Maude Violet",1,Q374_006,36015176
Maude Violet Clarke,Q374,"Clarke, Maude Violet",author,Fourteenth century studies,1937,1937,Oxford,Clarendon press,3,"Clarke, Maude Violet || Sutherland, Lucy Stuart || McKisack, May",1,Q374_001,37022084
Emily Jane Climenson,Q835,"Climenson, Emily J.",editor,"Passages from the diaries of Mrs. Philip Lybbe Powys of Hardwick house, Oxon. 1756-1808",1899,1899,London,"New York and Bombay, Longmans, Green, and co.",2,"Powys, Caroline Girle || Climenson, Emily J.",2,Q835_003,04032977
